_id.courseId,_id.sectionId,_id.unitId,user,start_time,end_time,total_time
28,1,10,501,2018-04-18T13:54:30.048Z,2018-04-18T13:57:07.879Z,157831
28,1,10,14219,2018-04-18T18:48:00.311Z,2018-04-18T18:49:15.410Z,75099
28,1,10,223,2018-04-19T15:46:33.915Z,2018-04-19T15:48:25.504Z,111589
28,1,10,223,2018-04-19T15:50:56.851Z,2018-04-19T15:51:10.930Z,14079
28,1,10,223,2018-04-19T15:53:47.091Z,2018-04-19T15:54:05.508Z,18417
28,1,10,223,2018-04-19T15:56:03.787Z,2018-04-19T15:56:04.668Z,881
28,1,10,14689,2018-04-20T15:43:00.978Z,2018-04-20T15:44:35.028Z,94050
28,1,10,501,2018-04-20T18:02:06.112Z,2018-04-20T18:02:11.801Z,5689
28,1,10,14567,2018-04-21T17:54:05.913Z,2018-04-21T18:07:37.782Z,811869
28,1,10,14567,2018-04-21T18:08:15.322Z,2018-04-21T18:08:17.173Z,1851
28,1,10,14650,2018-04-23T10:44:23.841Z,2018-04-23T10:45:04.730Z,40889
28,1,10,14804,2018-04-23T11:46:41.615Z,2018-04-23T11:51:33.131Z,291516
28,1,10,13631,2018-04-23T13:58:03.436Z,2018-04-23T13:59:30.718Z,87282
28,1,10,14818,2018-04-23T15:27:07.338Z,2018-04-23T15:27:18.647Z,11309
28,1,10,14824,2018-04-23T17:15:42.928Z,2018-04-23T17:25:20.807Z,577879
28,1,10,14567,2018-04-23T19:37:47.709Z,2018-04-23T19:38:09.225Z,21516
28,1,10,1629,2018-04-24T14:09:02.512Z,2018-04-24T14:10:14.159Z,71647
28,1,10,14567,2018-04-24T15:44:26.835Z,2018-04-24T15:44:43.033Z,16198
28,1,10,13048,2018-04-25T15:51:08.377Z,2018-04-25T15:51:46.941Z,38564
28,1,10,14897,2018-04-26T04:05:31.089Z,2018-04-26T04:05:40.110Z,9021
28,1,10,14804,2018-04-26T11:56:01.872Z,2018-04-26T11:57:56.019Z,114147
28,1,10,14923,2018-04-26T23:44:26.029Z,2018-04-26T23:47:54.048Z,208019
28,1,10,14489,2018-04-27T21:13:00.367Z,2018-04-27T21:25:26.459Z,746092
28,1,10,14979,2018-04-28T23:00:01.416Z,2018-04-28T23:00:06.083Z,4667
28,1,10,14993,2018-04-29T07:09:55.591Z,2018-04-29T07:10:06.068Z,10477
28,1,10,14975,2018-04-29T12:33:09.256Z,2018-04-29T12:35:00.241Z,110985
28,1,10,14929,2018-04-30T01:58:50.344Z,2018-04-30T02:00:18.421Z,88077
28,1,10,14929,2018-04-30T02:34:45.436Z,2018-04-30T02:34:46.345Z,909
28,1,10,14929,2018-04-30T02:59:14.731Z,2018-04-30T02:59:28.357Z,13626
28,1,10,14804,2018-04-30T14:46:17.948Z,2018-04-30T14:46:27.901Z,9953
28,1,10,14979,2018-05-01T11:01:54.188Z,2018-05-01T11:02:27.875Z,33687
28,1,10,14979,2018-05-01T11:14:51.827Z,2018-05-01T11:19:19.862Z,268035
28,1,10,14697,2018-05-01T16:15:22.891Z,2018-05-01T16:15:39.235Z,16344
28,1,10,15109,2018-05-05T11:13:31.213Z,2018-05-05T11:15:15.949Z,104736
28,1,10,15126,2018-05-06T12:19:55.389Z,2018-05-06T12:22:10.964Z,135575
28,1,10,15219,2018-05-06T19:24:09.663Z,2018-05-06T19:24:47.625Z,37962
28,1,10,15237,2018-05-07T09:17:28.094Z,2018-05-07T09:18:00.464Z,32370
28,1,10,5259,2018-05-07T12:31:17.959Z,2018-05-07T12:31:42.932Z,24973
28,1,10,15211,2018-05-07T12:48:27.050Z,2018-05-07T12:49:06.373Z,39323
28,1,10,15264,2018-05-08T13:20:29.157Z,2018-05-08T13:20:32.082Z,2925
28,1,10,15264,2018-05-08T13:26:31.218Z,2018-05-08T14:17:57.177Z,3085959
28,1,10,15264,2018-05-08T14:49:59.443Z,2018-05-08T14:55:39.100Z,339657
28,1,10,15264,2018-05-08T14:57:26.817Z,2018-05-08T14:57:28.404Z,1587
28,1,10,15264,2018-05-08T14:58:30.548Z,2018-05-08T14:58:32.000Z,1452
28,1,10,15264,2018-05-08T14:59:10.699Z,2018-05-08T14:59:12.030Z,1331
28,1,10,15231,2018-05-09T06:10:22.651Z,2018-05-09T06:10:44.629Z,21978
28,1,10,218,2018-05-09T13:34:19.189Z,2018-05-09T13:34:30.405Z,11216
28,1,10,8077,2018-05-09T22:53:12.431Z,2018-05-09T23:01:12.881Z,480450
28,1,10,11464,2018-05-11T19:05:43.835Z,2018-05-11T19:05:53.602Z,9767
